ID,TITLE,YEAR,SCORE,Studio,episodes
5114,Fullmetal Alchemist: Brotherhood,2009.0,9.1,Bones,64
21,One Piece,1999.0,8.7,Toei Animation,airing
11061,Hunter x Hunter (2011),2011.0,9.04,Madhouse,148
9253,Steins;Gate,2011.0,9.07,White Fox,24
1535,Death Note,2006.0,8.62,Madhouse,37
16498,Shingeki no Kyojin,2013.0,8.54,Wit Studio,25
1735,Naruto: Shippuuden,2007.0,8.26,Pierrot,500
1575,Code Geass: Hangyaku no Lelouch,2006.0,8.7,Sunrise,25
30,Neon Genesis Evangelion,1995.0,8.35,Gainax,26
38000,Kimetsu no Yaiba,2019.0,8.5,ufotable,26
32281,Kimi no Na wa.,,8.84,CoMix Wave Films,1
28851,Koe no Katachi,,8.94,Kyoto Animation,1
23273,Shigatsu wa Kimi no Uso,2014.0,8.65,A-1 Pictures,22
40748,Jujutsu Kaisen,2020.0,8.63,MAPPA,24
1,Cowboy Bebop,1998.0,8.75,Sunrise,26
20,Naruto,2002.0,7.99,Pierrot,220
2001,Tengen Toppa Gurren Lagann,2007.0,8.63,Gainax,27
2904,Code Geass: Hangyaku no Lelouch R2,2008.0,8.91,Sunrise,25
20583,Haikyuu!!,2014.0,8.44,Production I.G,25
269,Bleach,2004.0,7.92,Pierrot,366
4181,Clannad: After Story,2008.0,8.93,Kyoto Animation,24
11757,Sword Art Online,2012.0,7.2,A-1 Pictures,25
31240,Re:Zero kara Hajimeru Isekai Seikatsu,2016.0,8.23,White Fox,25
30276,One Punch Man,2015.0,8.5,Madhouse,12
33352,Violet Evergarden,2018.0,8.67,Kyoto Animation,13
